senator,hlasovani,klub,link
Ivo Valenta,A,ODS,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Vladislav Vilímec,A,ODS,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Miloš Vystrčil,A,ODS,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jaroslav Zeman,A,ODS,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
František Bradáč,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jiří Carbol,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jiří Čunek,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Václav Hampl,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Miluše Horská,0,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Anna Hubáčková,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Renata Chmelová,0,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Šárka Jelínková,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Lumír Kantor,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Patrik Kunčar,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Zdeněk Papoušek,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jitka Seitlová,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Petr Šilar,0,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Alena Šromová,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jaromíra Vítková,A,KDU-ČSL + nez.,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Miroslav Antl,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Ivo Bárek,0,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jiří Dienstbier,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Karel Kratochvíle,0,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jaroslav Malý,0,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Miroslav Nenutil,0,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Jaromír Strnad,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Radek Sušil,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Milan Štěch,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Pavel Štohl,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
Emilie Třísková,A,ČSSD,https://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=18529&O=12
